DATAFLOW,FREQ,REF_AREA,DATA_TYPE,COICOP_2018,COICOP_CATEG,TOT_EQUI_EXPEND_QUANTILE,PURCH_BEHAVIOUR,NUMBER_HOUSEHOLD_COMP,HOUSEHOLD_TYPOLOGY,EDU_LEV_REFPERS,LABPROF_STATUS_B_REF,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_COICOP,NOTE_COICOP_CATEG,NOTE_TOT_EQUI_EXPEND_QUANTILE,NOTE_PURCH_BEHAVIOUR,NOTE_NUMBER_HOUSEHOLD_COMP,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_EDU_LEV_REFPERS,NOTE_LABPROF_STATUS_B_REF,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,N1,HH,99,ALL,2022,313.52,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,N2,HH,99,ALL,2022,491.99,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,N3,HH,99,ALL,2022,596.71,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,N4,HH,99,ALL,2022,668.19,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,771.29,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,01,ALL,ALL,ALL,TOT,HH,99,ALL,2022,481.8,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,N1,HH,99,ALL,2022,287.8,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,N2,HH,99,ALL,2022,452.51,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,N3,HH,99,ALL,2022,548.02,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,N4,HH,99,ALL,2022,613.81,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,709.93,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,011,ALL,ALL,ALL,TOT,HH,99,ALL,2022,442.71,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,N1,HH,99,ALL,2022,48.29,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,N2,HH,99,ALL,2022,75.06,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,N3,HH,99,ALL,2022,93.49,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,N4,HH,99,ALL,2022,108.92,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,129.31,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0111,ALL,ALL,ALL,TOT,HH,99,ALL,2022,75.54,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,N1,HH,99,ALL,2022,62.72,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,N2,HH,99,ALL,2022,104.05,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,N3,HH,99,ALL,2022,131.88,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,N4,HH,99,ALL,2022,151.43,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,181.15,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0112,ALL,ALL,ALL,TOT,HH,99,ALL,2022,103.72,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,N1,HH,99,ALL,2022,22.76,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,N2,HH,99,ALL,2022,40.16,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,N3,HH,99,ALL,2022,48.74,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,N4,HH,99,ALL,2022,53.18,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,57.37,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0113,ALL,ALL,ALL,TOT,HH,99,ALL,2022,37.9,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,N1,HH,99,ALL,2022,38.56,,,,,,,,,,,,,,,,
