DATAFLOW,FREQ,REF_AREA,DATA_TYPE,COICOP_2018,COICOP_CATEG,TOT_EQUI_EXPEND_QUANTILE,PURCH_BEHAVIOUR,NUMBER_HOUSEHOLD_COMP,HOUSEHOLD_TYPOLOGY,EDU_LEV_REFPERS,LABPROF_STATUS_B_REF,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_COICOP,NOTE_COICOP_CATEG,NOTE_TOT_EQUI_EXPEND_QUANTILE,NOTE_PURCH_BEHAVIOUR,NOTE_NUMBER_HOUSEHOLD_COMP,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_EDU_LEV_REFPERS,NOTE_LABPROF_STATUS_B_REF,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,N2,HH,99,ALL,2022,60.02,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,N3,HH,99,ALL,2022,69.31,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,N4,HH,99,ALL,2022,78.93,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,91.15,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0114,ALL,ALL,ALL,TOT,HH,99,ALL,2022,57.82,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,N1,HH,99,ALL,2022,10.4,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,N2,HH,99,ALL,2022,16.62,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,N3,HH,99,ALL,2022,16.7,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,N4,HH,99,ALL,2022,17.38,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,20.25,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0115,ALL,ALL,ALL,TOT,HH,99,ALL,2022,14.66,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,N1,HH,99,ALL,2022,29.28,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,N2,HH,99,ALL,2022,45.03,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,N3,HH,99,ALL,2022,47.66,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,N4,HH,99,ALL,2022,50.98,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,55.69,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0116,ALL,ALL,ALL,TOT,HH,99,ALL,2022,41.1,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,N1,HH,99,ALL,2022,41.15,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,N2,HH,99,ALL,2022,64.3,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,N3,HH,99,ALL,2022,73.96,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,N4,HH,99,ALL,2022,80.87,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,94.61,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0117,ALL,ALL,ALL,TOT,HH,99,ALL,2022,61.2,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,N1,HH,99,ALL,2022,13.17,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,N2,HH,99,ALL,2022,20.38,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,N3,HH,99,ALL,2022,26.51,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,N4,HH,99,ALL,2022,30.8,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,36.48,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0118,ALL,ALL,ALL,TOT,HH,99,ALL,2022,20.95,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,N1,HH,99,ALL,2022,21.47,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,N2,HH,99,ALL,2022,26.89,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,N3,HH,99,ALL,2022,39.77,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,N4,HH,99,ALL,2022,41.32,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,43.91,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0119,ALL,ALL,ALL,TOT,HH,99,ALL,2022,29.83,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,N1,HH,99,ALL,2022,25.66,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,N2,HH,99,ALL,2022,39.37,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,N3,HH,99,ALL,2022,48.58,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,N4,HH,99,ALL,2022,54.25,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,61.19,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,012,ALL,ALL,ALL,TOT,HH,99,ALL,2022,38.98,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,N1,HH,99,ALL,2022,1.96,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,N2,HH,99,ALL,2022,2.94,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,N3,HH,99,ALL,2022,4.78,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,N4,HH,99,ALL,2022,6.34,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,7.38,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0121,ALL,ALL,ALL,TOT,HH,99,ALL,2022,3.56,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,N1,HH,99,ALL,2022,9.33,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,N2,HH,99,ALL,2022,15.2,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,N3,HH,99,ALL,2022,16.57,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,N4,HH,99,ALL,2022,17.06,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,18.19,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0122,ALL,ALL,ALL,TOT,HH,99,ALL,2022,13.71,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,N1,HH,99,ALL,2022,2.12,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,N2,HH,99,ALL,2022,3.09,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,N3,HH,99,ALL,2022,3.42,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,N4,HH,99,ALL,2022,3.51,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,4.38,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0123,ALL,ALL,ALL,TOT,HH,99,ALL,2022,2.91,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,N1,HH,99,ALL,2022,0.03,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,N2,HH,99,ALL,2022,0.08,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,N3,HH,99,ALL,2022,0.14,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,N4,HH,99,ALL,2022,0.21,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,0.2,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0124,ALL,ALL,ALL,TOT,HH,99,ALL,2022,0.1,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,N1,HH,99,ALL,2022,8.76,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,N2,HH,99,ALL,2022,12.8,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,N3,HH,99,ALL,2022,15.71,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,N4,HH,99,ALL,2022,17.6,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,19.39,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0125,ALL,ALL,ALL,TOT,HH,99,ALL,2022,12.79,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,N1,HH,99,ALL,2022,2.69,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,N2,HH,99,ALL,2022,4.37,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,N3,HH,99,ALL,2022,6.82,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,N4,HH,99,ALL,2022,8.06,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,10.33,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0126,ALL,ALL,ALL,TOT,HH,99,ALL,2022,4.94,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,N1,HH,99,ALL,2022,0.76,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,N2,HH,99,ALL,2022,0.89,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,N3,HH,99,ALL,2022,1.13,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,N4,HH,99,ALL,2022,1.47,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,1.31,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0129,ALL,ALL,ALL,TOT,HH,99,ALL,2022,0.98,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,N1,HH,99,ALL,2022,0.07,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,N2,HH,99,ALL,2022,0.1,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,N3,HH,99,ALL,2022,0.12,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,N4,HH,99,ALL,2022,0.13,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,N5_GE,HH,99,ALL,2022,,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,013,ALL,ALL,ALL,TOT,HH,99,ALL,2022,0.1,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0130,ALL,ALL,ALL,N1,HH,99,ALL,2022,0.07,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0130,ALL,ALL,ALL,N2,HH,99,ALL,2022,0.1,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0130,ALL,ALL,ALL,N3,HH,99,ALL,2022,0.12,,,,,,,,,,,,,,,,
IT1:31_740_DF_DCCV_SPEMEFAM_COICOP_2018_3(1.0),A,IT,SPESA_MEDIA,0130,ALL,ALL,ALL,N4,HH,99,ALL,2022,0.13,,,,,,,,,,,,,,,,
